machine_id,machine_type,plant_location,temperature,vibration,pressure,rpm,power_consumption,load,usage_hours,wear_level,corrosion_level,efficiency,output_rate,error_count,warning_count,oil_level,coolant_level,failure_within_30_days,maintenance_required,RUL,stress_index,energy_efficiency,health_score
12628,Pump,Plant_C,73.47436232391301,66.77253775245725,62.681896164220184,1247.103995866747,172.71650588292903,0.7332092286633383,145,8.64999748356737,-0.6394122747977193,98.55,91.02689418455732,2,1,98.26,98.55,0,0,215,48.95824090137282,0.5270306605568857,93.53288320988933
37730,Motor,Plant_C,76.53066529015418,92.52033210392278,67.11060140690688,1474.098280065331,200.32728713635785,0.9216655173062953,4360,83.8606592740951,67.55915653607775,56.4,51.81280248107037,20,10,47.68,56.4,1,1,88,85.27279974991224,0.25864076343130765,21.329970910555915
39991,Motor,Plant_A,63.71481057345188,69.72156150892607,46.8067507402559,1633.0245641723786,200.7328742516256,0.3587070209372615,4008,77.4643054424211,61.379609508420444,59.92,50.20213762638635,17,8,51.904,59.92,1,1,105,25.00961362396091,0.25009424995058976,30.48478646558958
8525,Pump,Plant_C,74.92112583720498,88.5486151763404,45.843054357042604,1142.2124069159631,135.50972662771278,0.9591254236445876,3093,64.50601725103255,50.683855947393866,69.07,62.815634701904706,12,6,62.884,69.07,0,0,152,84.92922804414906,0.4635507447703642,46.511423635211465
8279,Furnace,Plant_A,106.5704350312535,72.65240254239208,68.77944414129179,1045.0784593835647,205.16298298528125,0.9201778746173979,4910,92.94479042436042,81.46332972004076,50.9,59.251186368922085,19,9,41.08,50.9,1,1,75,66.85313335730598,0.2888005697069284,17.823896928683723
51012,Furnace,Plant_C,84.89897169654526,53.62242941276918,51.87827504424927,1467.6634028516817,185.08549710876196,0.4622396734657602,3188,61.043431533169326,50.4337745782361,68.12,57.49154212549481,12,6,61.744,68.12,0,0,87,24.7864142621992,0.31062153990223773,47.60021562440198
14871,Motor,Plant_C,73.98382297958935,77.32329358520505,49.77343654415907,1553.4185549207743,238.85635464133733,0.6120220314828599,4650,84.71229921575497,73.02709495050124,53.5,44.26208585916588,19,9,44.199999999999996,53.5,1,1,64,47.323559220962785,0.18530838723394685,21.980891245173268
15127,Motor,Plant_C,67.09280646605204,75.17622706585269,43.39368774900979,2099.7587717571155,181.66894285461632,0.7004777081998694,3739,73.69619442484988,65.90666079249552,62.61,52.56058715204602,14,7,55.132,62.61,0,0,85,52.659271246201484,0.28932070791047937,36.70980951404593
9366,Furnace,Plant_B,92.19736491518924,41.23973596378234,46.82643340967519,1349.3972963012507,171.19101340754696,0.5327802750521415,2837,50.10439913621787,49.43852466470188,71.63,77.7169334591397,12,6,65.95599999999999,71.63,0,0,88,21.971717869861646,0.4539778806853745,51.08097532619426
33322,Pump,Plant_A,72.83530497171313,46.881392533199985,50.307657998789054,1273.0644509905205,263.44433422673234,0.7199816814338458,1345,24.129404825077806,21.17523155982856,86.55,80.97020476697818,9,4,83.86,86.55,0,0,127,33.75374382401347,0.3073522344090023,70.52613224051095
